"search_term_used","study_id","title","description","organism","relevance_score","url"
"cardiac","GSE106295","Transcriptome of cardiac tissue from WT mice, cardiac macrophages depleted mice, and mice deficient for Mertk and LxR","Our study aims to analyze the effect in whole cardiac transcriptome of cardiac macrophage depletion and the lack of receptors implicated in phagocytosis.","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE106295"
"cardiac","GSE111059","Gene expression of cardiac fibroblasts post-MI","We used microarrays to reveal the change in cardiac fibroblast gene expression profile after MI. Cardiac fibroblasts stay relatively quiescent under normal condition. These cells differentiate to myofibroblasts after myocardial infarction (MI), characterized by the expression of contractile proteins and secretion of elevated levels of extracellular matrix proteins, leading to cardiac remodeling. The differentiated myofiroblasts gradually lose most myofibroblast phenotypes but still persist in th...","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE111059"
"blood pressure","GSE3608","Renal medullary genes in salt-sensitive hypertension","Substitution of chromosome 13 from Brown Norway BN/SsNHsd/Mcw (BN/Mcw) rats into the Dahl salt-sensitive SS/JrHsd/Mcw (SS/Mcw) rats resulted in substantial reduction of blood pressure salt sensitivity in this consomic rat strain designated SSBN13. In the present study, we attempted to identify genes associated with salt-sensitive hypertension by utilizing a custom, known-gene cDNA microarray to compare the mRNA expression profiles in the renal medulla (a tissue playing a pivotal role in long-ter...","Rattus norvegicus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE3608"
"blood pressure","GSE27366","Mice lacking circadian transcriptional activator Clock exhibit dramatic changes in renal excretory rhythms","Recent evidence suggest that the circadian timing system plays an important role in the control of renal function and maintaining blood pressure. Here, we analyzed circadian rhythms of urinary excretion of sodium and potassium in wild-type mice and mice lacking circadian transcriptional activator clock. Analysis of urines collected at hourly intervals over a 24-hour period revealed dramatic changes in rhythms of sodium and potassium excretion in clock(-/-) mice. In parallel, significant differen...","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE27366"
"blood pressure","GSE109412","Pharmacokinetic, antihypertension and deep sequencing MiRNomes analysis of aorta from SHR fed with EGCG","Mechanism (s) of the epigallocatechin-3-gallate (EGCG) as major effective components in green tea regarding the reduction of hypertensive risk might associate with microRNAs (miRNAs). The plasma distribution of EGCG and epigallocatechin (EGC) in Sprague-Dawley rats were analyzed pharmacokinetically and found that they did not distribute well in plasma but widely in tissues, and their plasma deposition best fitted a mono-compartmental model with Cmax (6.65 vs 4.45 μg/mL) and Tmax (15 vs 10 min). ...","Rattus norvegicus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE109412"
"blood pressure","GSE102397","Smooth muscle cell mineralocorticoid receptor regulation of vascular mRNAs with aging","We used a smooth muscle cell-specific mineralocorticoid receptor knockout mouse to generate young and aged MR-intact and SMC-MR-KO aortic mRNA to examine the effect of age on vascular mRNA alterations in the presence and absence of SMC-MR. For more information about the mouse model see: McCurley, A et al. Direct regulation of blood pressure by smooth muscle cell mineralocorticoid receptors. Nat Med. 2012 Sep;18(9):1429-33","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE102397"
"blood pressure","GSE7628","Evaluation of expression quantitative trait loci within two interacting blood pressure quantitative trait loci","Keywords: rat, hypertension, genetics, polygenic trait, microarray, gene expression Genetic dissection of the S rat genome has provided strong evidence for the presence of two interacting blood pressure (BP) quantitative trait loci (QTLs), termed QTL1 and QTL2, on rat chromosome 5. However, the identities of the underlying interacting genetic factors remain unknown. Further experiments targeted to identify the interacting genetic factors by the substitution mapping approach alone are difficult b...","Rattus norvegicus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE7628"
"blood pressure","PXD013552","Glucocorticoid treatment leads to aberrant ion and macromolecular transport mechanisms in regenerating zebrafish fins.","Bone is a highly regenerative tissue but it can be permanently lost due to severe trauma and as a result of disease. In zebrafish, which are capable of complex organ regeneration, intramembranous bones of the fins and skull regenerate rapidly even after profound loss. The fin regenerate, albeit being composed of different tissues is a structure of modest complexity which, together with the fact that it is easy to access and monitor, makes it a useful system to study bone formation, wound healing...","Danio rerio (Zebrafish) (Brachydanio rerio)","11","https://osdr.nasa.gov/bio/repo/data/studies/PXD013552"
"blood pressure","GSE84960","Smooth muscle cell mineralocorticoid receptor regulation of vascular microRNAs with aging","We used a smooth muscle cell-specific mineralocorticoid receptor knockout mouse to generate young and aged MR-intact and SMC-MR-KO aortic miRNA to examine the effect of age on vascular miRNA alterations in the presence and absence of SMC-MR. For more information about the mouse model see: McCurley, A et al. Direct regulation of blood pressure by smooth muscle cell mineralocorticoid receptors. Nat Med. 2012 Sep;18(9):1429-33","synthetic construct","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE84960"
"circulation","GSE77045","Circulating extracellular RNA markers of liver regeneration","Results: A peak increase in extracellular RNA content occurred 6 hours after hepatectomy.  RNA sequencing was performed to identify the circulating extracellular non-coding RNA released after partial hepatectomy.  To identify candidate markers, we used bioinformatics analyses to find the enriched RNA  in the circulation after hepatectomy.  We then performed tissue expression analysis for selected non-coding RNA and correlated it to these findings.  Finally, a digital PCR assay was used to detect...","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE77045"
"circulation","GSE13402","SPARC-null vs. wild-type lens epithelium","SPARC is a matricellular glycoprotein involved in regulation of the extracellular matrix, growth factors, adhesion, and migration.  SPARC-null mice have altered basement membranes and develop posterior sub-capsular cataracts with cell swelling and equatorial vacuoles.  Exchange of fluid, nutrients, and waste products in the avascular lens is driven by a unique circulating ion current.  Here we demonstrate that SPARC-null mouse lenses exhibit abnormal circulation of fluid, ion, and small molecule...","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE13402"
"circulation","PXD011153","Proteome characterization of Spleen during Schistosoma mansoni infection","Schistosomiasis is a chronic parasitic disease that affects more that 230 million people worldwide. In the Americas, it caused by the blood flook Schistosoma mansoni. This parasite has a complex life cycle with two intermediary hosts. When infecting mammals, schistosomes cause an intense immune response to the presence of the different stages of the parasite within the host. After maturation of the worms and commencing of the oviposition, some eggs are transported via circulation to the liver, w...","Mus musculus (Mouse)","11","https://osdr.nasa.gov/bio/repo/data/studies/PXD011153"
"circulation","GSE27958","Expression profile of Chicken Early Yolksac Endodermal Tissues","A major role of yolk sac endoderm is the uptake of lipids and other constituents from the yolk and transfer of these components into the embryonic circulation. The molecular basis of the initial step of this regionalization has largely remained unclear. Using chick as a model system, we generated high-quality transcriptomic datasets of different stages of the yolksac endoderm and analyzed their molecular heterogeneity.","Gallus gallus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE27958"
"circulation","GSE69886","Expression data from control, aged and activated neutrophils in mouse blood","Neutrophils provide immune protection against pathogens but also may promote tissue injury in inflammatory diseases. Although neutrophils are generally considered as a relatively homogeneous population, evidence for heterogeneity is emerging. Under steady-state conditions, neutrophil heterogeneity may arise from ageing and the replenishment by newly released neutrophils from the bone marrow. We used microarray to globally analyze gene expression in aged neutrophils and characterize the inflammat...","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE69886"
"circulation","GSE84008","Genome-wide analysis of ex vivo gene expression of tumour pericytes and tumour endothelial cells obtained from 67NR mouse primary tumors","Pericytes are integral components of the tissue vasculature and have essential functions in tumour angiogenesis. Endosialin (CD248) is a type I transmembrane glycoprotein highly expressed on pericytes in the tumour vasculature of most solid tumours, however it is low or negligibly expressed on normal tissue pericytes. Experiments using wild-type and endosialin-knockout mice has revealed that stromal endosialin expression facilitates intravasation of tumor cells from the primary tumor into the ci...","Mus musculus","11","https://osdr.nasa.gov/bio/repo/data/studies/GSE84008"
